路名,交通态势,速度,经度,纬度,编号
舜江西路,2,30,120.862846,30.0124893,3
舜江西路,2,30,120.862946,30.010231,3
舜江西路,2,30,120.863197,30.0040836,3
舜江西路,2,30,120.863251,30.0025425,3
舜江西路,2,30,120.863274,30.0020008,3
舜江西路,2,30,120.863266,30.0013428,3
舜江西路,2,30,120.863213,30.000351,3
舜江西路,2,30,120.863182,30.000267,3
舜江西路,2,30,120.863167,30.0002003,3
舜江西路,2,30,120.863144,30.0001469,3
舜江西路,2,30,120.863091,30.0001106,3
舜江西路,2,30,120.86306,30.0000629,3
舜江西路,2,30,120.863029,30.0000095,3
舜江西路,2,30,120.863022,29.9999466,3
舜江西路,2,30,120.863022,29.9999104,3
舜江西路,2,30,120.863029,29.999876,3
舜江西路,2,30,120.863037,29.9998398,3
舜江西路,2,30,120.86306,29.9998093,3
舜江西路,2,30,120.863068,29.9997768,3
舜江西路,2,30,120.863083,29.9997597,3
舜江西路,2,30,120.863113,29.999733,3
舜江西路,2,30,120.863129,29.999712,3
舜江西路,2,30,120.863167,29.9996891,3
舜江西路,2,30,120.863197,29.9996758,3
舜江西路,2,30,120.863235,29.9996624,3
舜江西路,2,30,120.863289,29.9996586,3
舜江西路,2,30,120.863327,29.9996529,3
舜江西路,2,30,120.863396,29.9996624,3
舜江西路,2,30,120.863434,29.9996719,3
舜江西路,2,30,120.863487,29.9997063,3
舜江西路,2,30,120.863518,29.999733,3
舜江西路,2,30,120.863541,29.9997559,3
舜江西路,2,30,120.863571,29.9998093,3
舜江西路,2,30,120.863594,29.9998665,3
舜江西路,2,30,120.863602,29.999897,3
舜江西路,2,30,120.863594,29.9999638,3
舜江西路,2,30,120.863594,29.9999962,3
舜江西路,2,30,120.863564,30.0000572,3
舜江西路,2,30,120.863548,30.0000801,3
舜江西路,2,30,120.863525,30.0001068,3
舜江东路,2,35,120.862862,30.01684,4
舜江东路,2,35,120.86293,30.0170097,4
舜江东路,2,35,120.863167,30.0174751,4
舜江东路,2,35,120.863235,30.0175915,4
舜江东路,2,35,120.863289,30.0176716,4
舜江东路,2,35,120.863411,30.0178356,4
舜江东路,2,35,120.863594,30.0180492,4
舜江东路,2,35,120.863678,30.0181599,4
舜江东路,2,35,120.863815,30.0182972,4
舜江东路,2,35,120.864075,30.0185547,4
舜江东路,2,35,120.864441,30.0188885,4
舜江东路,2,35,120.864548,30.0189686,4
舜江东路,2,35,120.86734,30.021534,4
舜江东路,2,35,120.868637,30.0227203,4
舜江东路,2,35,120.869041,30.0230446,4
舜江东路,2,35,120.869179,30.0231514,4
舜江东路,2,35,120.869331,30.0232525,4
舜江东路,2,35,120.869492,30.0233421,4
舜江东路,2,35,120.869675,30.0234318,4
舜江东路,2,35,120.870041,30.0235863,4
舜江东路,2,35,120.870293,30.0236759,4
舜江东路,2,35,120.870544,30.0237427,4
舜江东路,2,35,120.870781,30.0238037,4
舜江东路,2,35,120.871376,30.0239296,4
舜江东路,2,35,120.871582,30.0239334,4
舜江东路,2,35,120.873497,30.0241642,4
舜江东路,2,35,120.875946,30.0244541,4
舜江东路,2,35,120.876732,30.0245514,4
舜江东路,2,35,120.879074,30.0248451,4
舜江东路,2,35,120.884018,30.0254173,4
舜江东路,2,35,120.884956,30.0255413,4
舜江东路,2,35,120.885201,30.0255871,4
舜江东路,2,35,120.885406,30.0256405,4
舜江东路,2,35,120.88562,30.0257111,4
舜江东路,2,35,120.885811,30.0257912,4
舜江东路,2,35,120.886086,30.0259209,4
舜江东路,2,35,120.886383,30.0260925,4
舜江东路,2,35,120.886551,30.0262222,4
舜江东路,2,35,120.886597,30.026329,5
舜江东路,2,35,120.886452,30.0262127,5
舜江东路,2,35,120.886261,30.0260792,5
舜江东路,2,35,120.886024,30.0259552,5
舜江东路,2,35,120.885803,30.0258446,5
舜江东路,2,35,120.885567,30.0257473,5
舜江东路,2,35,120.885529,30.0257378,5
舜江东路,2,35,120.885406,30.0256939,5
舜江东路,2,35,120.885254,30.0256577,5
舜江东路,2,35,120.884956,30.0255947,5
舜江东路,2,35,120.88401,30.0254707,5
舜江东路,2,35,120.878952,30.0248852,5
舜江东路,2,35,120.875984,30.0245113,5
舜江东路,2,35,120.873497,30.0242138,5
舜江东路,2,35,120.872551,30.024107,5
舜江东路,2,35,120.872513,30.0241032,5
舜江东路,2,35,120.871895,30.0240269,5
舜江东路,2,35,120.871567,30.0239906,5
舜江东路,2,35,120.871376,30.0239563,5
舜江东路,2,35,120.870773,30.0238304,5
舜江东路,2,35,120.870522,30.0237732,5
舜江东路,2,35,120.870277,30.0237026,5
舜江东路,2,35,120.870026,30.023613,5
舜江东路,2,35,120.869652,30.0234528,5
舜江东路,2,35,120.869476,30.023365,5
舜江东路,2,35,120.869316,30.0232754,5
舜江东路,2,35,120.869156,30.0231743,5
舜江东路,2,35,120.869011,30.0230675,5
舜江东路,2,35,120.868622,30.0227375,5
舜江东路,2,35,120.867317,30.0215511,5
舜江东路,2,35,120.864517,30.0189915,5
舜江东路,2,35,120.864426,30.0189152,5
迎宾大道,2,40,120.886551,30.0262222,6
迎宾大道,2,40,120.887466,30.0274124,6
迎宾大道,2,40,120.887749,30.0278053,6
迎宾大道,2,40,120.88839,30.0286942,6
迎宾大道,2,40,120.889999,30.0309696,6
迎宾大道,2,40,120.891144,30.0325909,6
迎宾大道,2,35,120.89991,30.045414,7
迎宾大道,2,35,120.89991,30.0452709,7
迎宾大道,2,35,120.899887,30.0451565,7
迎宾大道,2,35,120.899857,30.0450497,7
迎宾大道,2,35,120.899803,30.0449333,7
迎宾大道,2,35,120.898506,30.043169,7
迎宾大道,2,35,120.897781,30.0421371,7
迎宾大道,2,35,120.897209,30.0413074,7
迎宾大道,2,35,120.892975,30.035284,8
迎宾大道,2,35,120.89106,30.0325737,8
亚厦大道,1,50,120.85994,29.9996262,9
亚厦大道,1,50,120.860039,29.9996357,9
亚厦大道,1,50,120.860092,29.9996357,9
亚厦大道,1,50,120.86013,29.9996262,9
亚厦大道,1,50,120.860268,29.9995995,9
亚厦大道,1,50,120.86039,29.9995823,9
亚厦大道,1,50,120.860672,29.9995594,9
亚厦大道,1,50,120.860962,29.9995461,9
亚厦大道,1,50,120.861229,29.9995461,9
亚厦大道,1,50,120.861633,29.9995728,9
亚厦大道,1,50,120.862061,29.9996357,9
亚厦大道,1,50,120.862396,29.9997063,9
亚厦大道,1,50,120.862823,29.9998131,9
亚厦大道,1,50,120.862892,29.9998226,9
亚厦大道,1,50,120.86293,29.9998169,9
亚厦大道,1,50,120.862984,29.9998093,9
亚厦大道,1,50,120.863029,29.9997959,9
亚厦大道,1,50,120.863068,29.9997768,9
舜江西路,1,51,120.862854,30.0168438,10
舜江西路,1,51,120.863167,30.0171604,10
舜江西路,1,51,120.863396,30.0174351,10
舜江西路,1,51,120.863571,30.0176754,10
舜江西路,1,51,120.863701,30.0178356,10
舜江西路,1,51,120.863838,30.018013,10
舜江西路,1,51,120.863991,30.0181694,10
舜江西路,1,51,120.864212,30.0183735,10
舜江西路,1,51,120.864349,30.0184975,10
舜江西路,1,51,120.864388,30.0185337,10
舜江西路,1,51,120.864464,30.0185738,10
舜江西路,1,51,120.864494,30.0185871,10
舜江西路,1,51,120.86454,30.0185947,10
１０４国道,1,50,120.959343,29.3504887,11
１０４国道,1,50,120.959221,29.3506584,11
１０４国道,1,50,120.959099,29.3507786,11
１０４国道,1,50,120.958382,29.3513603,11
１０４国道,1,50,120.957268,29.3522625,11
１０４国道,1,50,120.956924,29.3524437,11
１０４国道,1,50,120.956161,29.3526402,11
１０４国道,1,50,120.954811,29.3532658,11
１０４国道,1,50,120.954544,29.3533192,11
１０４国道,1,50,120.954323,29.3533325,11
１０４国道,1,50,120.953888,29.3533192,11
１０４国道,1,50,120.953423,29.3532524,11
１０４国道,1,50,120.953087,29.3532658,11
１０４国道,1,50,120.952728,29.3533382,11
１０４国道,1,50,120.951477,29.3536186,11
１０４国道,1,50,120.950554,29.3537731,11
１０４国道,1,50,120.950096,29.3537998,11
１０４国道,1,50,120.949722,29.3537502,11
１０４国道,1,50,120.948647,29.3534527,11
１０４国道,1,50,120.947716,29.3531208,11
１０４国道,1,50,120.946899,29.352684,11
１０４国道,1,50,120.945549,29.3519726,11
１０４国道,1,50,120.944801,29.3515415,11
１０４国道,1,50,120.943802,29.350872,11
１０４国道,1,50,120.943619,29.3507252,11
１０４国道,1,50,120.943359,29.3505917,11
１０４国道,1,50,120.943184,29.3504982,11
１０４国道,1,50,120.943024,29.3504715,11
１０４国道,1,50,120.942863,29.3505058,11
１０４国道,1,50,120.942719,29.3505726,11
１０４国道,1,50,120.942535,29.3506794,11
１０４国道,1,50,120.941368,29.3515377,11
１０４国道,1,50,120.940445,29.3522625,11
１０４国道,1,50,120.940094,29.3526363,11
１０４国道,1,50,120.939789,29.3530674,11
１０４国道,1,50,120.939636,29.3533287,11
１０４国道,1,50,120.939606,29.3535328,11
１０４国道,1,50,120.939606,29.3537159,11
１０４国道,1,50,120.939751,29.3541565,11
１０４国道,1,50,120.940086,29.3551197,11
１０４国道,1,50,120.94062,29.3565636,11
１０４国道,1,50,120.941246,29.358223,11
１０４国道,1,50,120.941704,29.3594704,11
１０４国道,1,50,120.941757,29.3596172,11
１０４国道,1,50,120.941795,29.359787,11
１０４国道,1,50,120.941811,29.359911,11
１０４国道,1,50,120.941811,29.3600616,11
１０４国道,1,50,120.941788,29.360178,11
１０４国道,1,50,120.941742,29.3603153,11
１０４国道,1,50,120.941666,29.360445,11
１０４国道,1,50,120.941544,29.3605957,11
１０４国道,1,50,120.94117,29.3609505,11
１０４国道,1,50,120.940193,29.3617592,11
１０４国道,1,50,120.939339,29.3624306,11
１０４国道,1,50,120.939102,29.362608,11
１０４国道,1,50,120.93882,29.3627949,11
１０４国道,1,50,120.938461,29.3629379,11
１０４国道,1,50,120.938171,29.3630047,11
１０４国道,1,50,120.937881,29.363018,11
１０４国道,1,50,120.936432,29.3631382,11
１０４国道,1,50,120.9347,29.3632717,11
１０４国道,1,50,120.934349,29.3633327,11
１０４国道,1,50,120.934074,29.3634224,11
１０４国道,1,50,120.933968,29.3635025,11
１０４国道,1,50,120.933884,29.3635902,11
１０４国道,1,50,120.933815,29.3637104,11
１０４国道,1,50,120.933762,29.3638363,11
１０４国道,1,50,120.933708,29.363987,11
１０４国道,1,50,120.933632,29.3644981,11
１０４国道,1,50,120.933624,29.3647861,11
１０４国道,1,50,120.933495,29.3667564,11
１０４国道,1,50,120.933441,29.3671818,11
１０４国道,1,50,120.933388,29.3674088,11
１０４国道,1,50,120.933228,29.3676395,11
１０４国道,1,50,120.932892,29.3679371,11
１０４国道,1,50,120.932678,29.3680897,11
１０４国道,1,50,120.932388,29.3683205,11
１０４国道,1,50,120.932228,29.3685112,11
１０４国道,1,50,120.932159,29.3686142,11
１０４国道,1,50,120.932137,29.3687115,11
１０４国道,1,50,120.932137,29.3688126,11
１０４国道,1,50,120.932144,29.3689156,11
１０４国道,1,50,120.93219,29.3690319,11
１０４国道,1,50,120.932274,29.3691425,11
１０４国道,1,50,120.932365,29.3692226,11
１０４国道,1,50,120.93251,29.3693237,11
１０４国道,1,50,120.933022,29.3696671,11
１０４国道,1,50,120.933159,29.369791,11
１０４国道,1,50,120.933281,29.3699417,11
１０４国道,1,50,120.933464,29.3702755,11
１０４国道,1,50,120.934181,29.3717251,11
１０４国道,1,50,120.934807,29.3729515,11
１０４国道,1,50,120.934967,29.3733425,11
１０４国道,1,50,120.935043,29.3736038,11
１０４国道,1,50,120.935059,29.3739376,11
１０４国道,1,50,120.935013,29.3742275,11
１０４国道,1,50,120.934937,29.3746452,11
１０４国道,1,50,120.934776,29.3752537,11
１０４国道,1,50,120.934708,29.375618,11
１０４国道,1,50,120.934753,29.3759785,11
１０４国道,1,50,120.93483,29.3762703,11
１０４国道,1,50,120.934845,29.3764896,11
１０４国道,1,50,120.93483,29.3766174,11
１０４国道,1,50,120.934723,29.3768349,11
１０４国道,1,50,120.93438,29.3772621,11
１０４国道,1,50,120.93425,29.3774757,11
１０４国道,1,50,120.934181,29.3778267,11
１０４国道,1,50,120.934151,29.3781204,11
１０４国道,1,50,120.934204,29.3784046,11
１０４国道,1,50,120.934326,29.3786888,11
１０４国道,1,50,120.934563,29.3789825,11
１０４国道,1,50,120.9347,29.3791294,11
１０４国道,1,50,120.934883,29.3793335,11
１０４国道,1,50,120.934944,29.3794575,11
１０４国道,1,50,120.935005,29.3796406,11
１０４国道,1,50,120.935005,29.3799782,11
１０４国道,1,50,120.935005,29.3801956,11
１０４国道,1,50,120.935051,29.3804131,11
１０４国道,1,50,120.935081,29.3805428,11
１０４国道,1,50,120.935265,29.3807907,11
１０４国道,1,50,120.935432,29.3809338,11
１０４国道,1,50,120.93557,29.381031,11
１０４国道,1,50,120.935875,29.3811512,11
１０４国道,1,50,120.936836,29.3813457,11
１０４国道,1,50,120.937225,29.381422,11
１０４国道,1,50,120.937424,29.3815022,11
１０４国道,1,50,120.937584,29.3816051,11
１０４国道,1,50,120.937721,29.3817291,11
１０４国道,1,50,120.937851,29.3819103,11
１０４国道,1,50,120.937973,29.3821869,11
１０４国道,1,50,120.938057,29.3823948,11
１０４国道,1,50,120.93808,29.3825607,11
１０４国道,1,50,120.938034,29.3827915,11
１０４国道,1,50,120.937935,29.3829727,11
１０４国道,1,50,120.937767,29.3831921,11
１０４国道,1,50,120.937637,29.3833332,11
１０４国道,1,50,120.9375,29.3834934,11
１０４国道,1,50,120.937416,29.3836231,11
１０４国道,1,50,120.937347,29.3837509,11
１０４国道,1,50,120.937317,29.3838806,11
１０４国道,1,50,120.937317,29.3840084,11
１０４国道,1,50,120.93734,29.3841209,11
１０４国道,1,50,120.937393,29.3842354,11
１０４国道,1,50,120.937492,29.384346,11
１０４国道,1,50,120.937637,29.384449,11
１０４国道,1,50,120.937775,29.3845158,11
１０４国道,1,50,120.937912,29.3845463,11
１０４国道,1,50,120.938065,29.3845558,11
１０４国道,1,50,120.938225,29.3845119,11
１０４国道,1,50,120.938385,29.3844318,11
１０４国道,1,50,120.938507,29.3843288,11
１０４国道,1,50,120.938652,29.3842087,11
１０４国道,1,50,120.938789,29.3840351,11
１０４国道,1,50,120.93895,29.3838348,11
１０４国道,1,50,120.93914,29.3836613,11
１０４国道,1,50,120.939468,29.3834705,11
１０４国道,1,50,120.939629,29.3834305,11
１０４国道,1,50,120.939873,29.3834095,11
１０４国道,1,50,120.940376,29.3833599,11
１０４国道,1,50,120.940781,29.3833466,11
１０４国道,1,50,120.94101,29.3833904,11
１０４国道,1,50,120.94117,29.3834667,11
１０４国道,1,50,120.941353,29.3836136,11
１０４国道,1,50,120.94149,29.3838673,11
１０４国道,1,50,120.941673,29.3842487,11
１０４国道,1,50,120.941963,29.3846035,11
１０４国道,1,50,120.942184,29.3848228,11
１０４国道,1,50,120.942345,29.385107,11
１０４国道,1,50,120.942451,29.3856125,11
１０４国道,1,50,120.94249,29.3858185,11
１０４国道,1,50,120.942581,29.3859825,11
１０４国道,1,50,120.942719,29.3861237,11
１０４国道,1,50,120.942917,29.3862228,11
１０４国道,1,50,120.943573,29.3863506,11
１０４国道,1,50,120.943771,29.3864403,11
１０４国道,1,50,120.943893,29.3865204,11
１０４国道,1,50,120.944016,29.3866444,11
１０４国道,1,50,120.944122,29.3868217,11
１０４国道,1,50,120.944199,29.3871117,11
１０４国道,1,50,120.944305,29.3873692,11
１０４国道,1,50,120.944397,29.3875465,11
１０４国道,1,50,120.944534,29.3876801,11
１０４国道,1,50,120.944824,29.3878098,11
１０４国道,1,50,120.945152,29.3879414,11
１０４国道,1,50,120.945908,29.3882484,11
１０４国道,1,50,120.946297,29.3883953,11
１０４国道,1,50,120.94651,29.3885689,11
１０４国道,1,50,120.946541,29.3885956,11
１０４国道,1,50,120.946663,29.3887463,11
１０４国道,1,50,120.947075,29.3894081,11
１０４国道,1,50,120.94738,29.3899651,11
１０４国道,1,50,120.947647,29.390337,11
１０４国道,1,50,120.948105,29.3909206,11
１０４国道,1,50,120.948997,29.3920574,11
１０４国道,1,50,120.949654,29.3928089,11
１０４国道,1,50,120.949814,29.3929691,11
１０４国道,1,50,120.950043,29.3931465,11
１０４国道,1,50,120.9505,29.3934269,11
１０４国道,1,50,120.950684,29.3935947,11
１０４国道,1,50,120.950775,29.3937378,11
１０４国道,1,50,120.950874,29.3939648,11
１０４国道,1,50,120.950912,29.3944187,11
１０４国道,1,50,120.950989,29.3946095,11
１０４国道,1,50,120.951553,29.3953342,11
１０４国道,1,50,120.951859,29.3956318,11
１０４国道,1,50,120.952034,29.3958797,11
１０４国道,1,50,120.952286,29.3963604,11
１０４国道,1,50,120.952446,29.3965378,11
１０４国道,1,50,120.95269,29.3967247,11
１０４国道,1,50,120.953247,29.3970222,11
１０４国道,1,50,120.953369,29.3971119,11
１０４国道,1,50,120.953461,29.3971958,11
１０４国道,1,50,120.953537,29.3972836,11
１０４国道,1,50,120.95359,29.3973866,11
１０４国道,1,50,120.953636,29.3974934,11
１０４国道,1,50,120.953674,29.397604,11
１０４国道,1,50,120.953674,29.3977242,11
１０４国道,1,50,120.953674,29.3978271,11
１０４国道,1,50,120.953621,29.3981743,11
１０４国道,1,50,120.953331,29.3991032,11
１０４国道,1,50,120.95327,29.3993778,11
１０４国道,1,50,120.953224,29.3996315,11
１０４国道,1,50,120.953224,29.3999863,11
１０４国道,1,50,120.953255,29.4003468,11
１０４国道,1,50,120.953308,29.4006271,11
１０４国道,1,50,120.953476,29.4011192,11
１０４国道,1,50,120.95359,29.4015331,11
１０４国道,1,50,120.953674,29.4020576,11
１０４国道,1,50,120.953865,29.4035206,11
１０４国道,1,50,120.953941,29.4038486,11
１０４国道,1,50,120.954102,29.404192,11
１０４国道,1,50,120.954437,29.4048405,11
１０４国道,1,50,120.954651,29.405489,11
１０４国道,1,50,120.954727,29.4057198,11
１０４国道,1,50,120.954918,29.4065342,11
１０４国道,1,50,120.954987,29.4067783,11
１０４国道,1,50,120.955139,29.4070187,11
１０４国道,1,50,120.955345,29.407196,11
１０４国道,1,50,120.955589,29.4073868,11
１０４国道,1,50,120.955772,29.4076214,11
１０４国道,1,50,120.955933,29.4079685,11
１０４国道,1,50,120.956322,29.4087639,11
１０４国道,1,50,120.956444,29.409071,11
１０４国道,1,50,120.956589,29.409565,11
１０４国道,1,50,120.957054,29.4110451,11
１０４国道,1,50,120.957207,29.4116135,11
１０４国道,1,50,120.95726,29.412014,11
１０４国道,1,50,120.957291,29.4124355,11
１０４国道,1,50,120.957336,29.4127598,11
１０４国道,1,50,120.95739,29.4129238,11
１０４国道,1,50,120.957458,29.4130573,11
１０４国道,1,50,120.957626,29.4133415,11
１０４国道,1,50,120.957794,29.4135513,11
１０４国道,1,50,120.957939,29.4137859,11
１０４国道,1,50,120.958008,29.4139519,11
１０４国道,1,50,120.958046,29.4142704,11
１０４国道,1,50,120.957832,29.416111,11
１０４国道,1,50,120.957832,29.4166927,11
１０４国道,1,50,120.95797,29.4175549,11
１０４国道,1,50,120.957954,29.4178848,11
１０４国道,1,50,120.957832,29.4186268,11
１０４国道,1,50,120.957817,29.4188881,11
１０４国道,1,50,120.957863,29.4191284,11
１０４国道,1,50,120.958153,29.4195023,11
１０４国道,1,50,120.958199,29.419569,11
１０４国道,1,50,120.958221,29.4196396,11
１０４国道,1,50,120.958237,29.4197063,11
１０４国道,1,50,120.958237,29.4197693,11
１０４国道,1,50,120.958221,29.4198437,11
１０４国道,1,50,120.958206,29.4199066,11
１０４国道,1,50,120.958183,29.4199696,11
１０４国道,1,50,120.958145,29.4200439,11
１０４国道,1,50,120.958076,29.4201298,11
１０４国道,1,50,120.957794,29.4204617,11
１０４国道,1,50,120.956879,29.4214897,11
１０４国道,1,50,120.956589,29.4218445,11
１０４国道,1,50,120.956406,29.4222183,11
１０４国道,1,50,120.956291,29.4225464,11
１０４国道,1,50,120.95623,29.4228096,11
１０４国道,1,50,120.956207,29.4230843,11
１０４国道,1,50,120.956207,29.4233742,11
１０４国道,1,50,120.956223,29.4235592,11
１０４国道,1,50,120.956284,29.4238129,11
１０４国道,1,50,120.956482,29.4241772,11
１０４国道,1,50,120.956795,29.4245777,11
１０４国道,1,50,120.956825,29.4246349,11
１０４国道,1,50,120.956856,29.4246883,11
１０４国道,1,50,120.956871,29.4247475,11
１０４国道,1,50,120.956879,29.4248085,11
１０４国道,1,50,120.956871,29.4248791,11
１０４国道,1,50,120.956863,29.4249325,11
１０４国道,1,50,120.956848,29.4249916,11
１０４国道,1,50,120.956711,29.425333,11
１０４国道,1,50,120.955269,29.4279289,11
１０４国道,1,50,120.955055,29.4283104,11
１０４国道,1,50,120.954987,29.4286442,11
１０４国道,1,50,120.954987,29.4290714,11
１０４国道,1,50,120.955078,29.4294319,11
１０４国道,1,50,120.955269,29.4297905,11
１０４国道,1,50,120.956505,29.4321861,11
１０４国道,1,50,120.957039,29.4328976,11
１０４国道,1,50,120.957405,29.4332352,11
１０４国道,1,50,120.957817,29.433569,11
１０４国道,1,50,120.95829,29.4338264,11
１０４国道,1,50,120.958649,29.43396,11
１０４国道,1,50,120.959732,29.434248,11
１０４国道,1,50,120.961655,29.4344978,11
１０４国道,1,50,120.962082,29.4346008,11
１０４国道,1,50,120.962166,29.4346142,11
１０４国道,1,50,120.962372,29.4346848,11
１０４国道,1,50,120.962685,29.4348392,11
１０４国道,1,50,120.962914,29.435009,11
１０４国道,1,50,120.963203,29.435236,11
１０４国道,1,50,120.963448,29.435524,11
１０４国道,1,50,120.963905,29.4362183,11
１０４国道,1,50,120.964142,29.4366264,11
１０４国道,1,50,120.964355,29.4370098,11
１０４国道,1,50,120.964577,29.4375687,11
１０４国道,1,50,120.964874,29.4387283,11
１０４国道,1,50,120.965012,29.4393864,11
１０４国道,1,50,120.965118,29.4396973,11
１０４国道,1,50,120.965332,29.4400616,11
１０４国道,1,50,120.965973,29.4409065,11
１０４国道,1,50,120.966042,29.4410267,11
１０４国道,1,50,120.966095,29.4411907,11
１０４国道,1,50,120.966148,29.4413605,11
１０４国道,1,50,120.966179,29.441555,11
１０４国道,1,50,120.966187,29.4417591,11
１０４国道,1,50,120.966171,29.441946,11
１０４国道,1,50,120.966118,29.4421329,11
１０４国道,1,50,120.966026,29.4423294,11
１０４国道,1,50,120.965874,29.442564,11
１０４国道,1,50,120.965706,29.4427547,11
１０４国道,1,50,120.965431,29.4430275,11
１０４国道,1,50,120.964981,29.4434452,11
１０４国道,1,50,120.964745,29.4436836,11
１０４国道,1,50,120.964577,29.443903,11
１０４国道,1,50,120.964432,29.4441071,11
１０４国道,1,50,120.964287,29.4443684,11
１０４国道,1,50,120.964188,29.4445992,11
１０４国道,1,50,120.964088,29.4448986,11
１０４国道,1,50,120.96402,29.4451771,11
１０４国道,1,50,120.96389,29.4459209,11
１０４国道,1,50,120.963837,29.4461956,11
１０４国道,1,50,120.963783,29.4464092,11
１０４国道,1,50,120.963707,29.4466171,11
１０４国道,1,50,120.963608,29.4468307,11
１０４国道,1,50,120.963516,29.4469948,11
１０４国道,1,50,120.963402,29.4471607,11
１０４国道,1,50,120.963203,29.4474049,11
１０４国道,1,50,120.96286,29.4477463,11
１０４国道,1,50,120.961792,29.448782,11
１０４国道,1,50,120.961426,29.449192,11
１０４国道,1,50,120.961212,29.4494801,11
１０４国道,1,50,120.961067,29.4497414,11
１０４国道,1,50,120.960968,29.4500046,11
１０４国道,1,50,120.960815,29.4504929,11
１０４国道,1,50,120.960686,29.450943,11
１０４国道,1,50,120.960594,29.4511547,11
１０４国道,1,50,120.960495,29.4513149,11
１０４国道,1,50,120.960373,29.4514809,11
１０４国道,1,50,120.960251,29.4516125,11
１０４国道,1,50,120.960121,29.4517117,11
１０４国道,1,50,120.959953,29.4518127,11
１０４国道,1,50,120.959747,29.4519024,11
１０４国道,1,50,120.959595,29.451952,11
１０４国道,1,50,120.959251,29.452013,11
１０４国道,1,50,120.958611,29.4520264,11
１０４国道,1,50,120.958168,29.4520493,11
１０４国道,1,50,120.957886,29.4520931,11
